db_id,db_name,clean_name,db_lat,db_lng,db_google_place_id,resolved_google_place_id,google_name,match_score,distance_meters,confidence,source,num_candidates,notes,status,reason,n_text_results,n_nearby_results
01740682-da38-46ac-bb5c-151bb52a2dce,"Go Get Em Tiger,coffee,6-coffee,Multiple locations",Go Get Em Tiger,0.0,0.0,,,,0,0,NO_MATCH,,0,No API results,AMBIGUOUS,TEXT_MULTI_RESULTS,7,0
029eb806-0c5a-4e29-8b23-b254718e44e3,Dunsmoor,Dunsmoor,,,,ChIJQxbwUsHBwoARqt0NKxponhU,Dunsmoor,100.0,0,HIGH,text_search,1,Exactly one high-confidence result,MATCH,TEXT_SINGLE_HIGH_SIM,1,0
077bb2b8-3a0b-44b2-a9dd-4e5915809a5b,"Chengdu Taste,restaurant,4-iconic,SGV Sichuan essential",Chengdu Taste,0.0,0.0,,ChIJfexi_j7FwoARBvFOjLFRM7I,Chengdu Taste,100.0,0,HIGH,text_search,1,Exactly one high-confidence result,MATCH,TEXT_SINGLE_HIGH_SIM,1,0
1af2e0ab-c231-4a44-9b90-f8b50107f948,"Berenjak,restaurant,3-hot2025,Persian from London - Arts District buzzy",Berenjak,0.0,0.0,,ChIJi-NVGiDGwoARSYqOhBs8jYc,Berenjak,100.0,0,HIGH,text_search,1,Exactly one high-confidence result,MATCH,TEXT_SINGLE_HIGH_SIM,1,0
1cfb2fe0-6a19-464a-8d42-50d83cd11c7f,"Jon & Vinny's,restaurant,1,Fairfax - massive editorial coverage",Jon & Vinny's,0.0,0.0,,,,0,0,NO_MATCH,,0,No API results,AMBIGUOUS,TEXT_MULTI_RESULTS,5,0
1df4f9bb-b905-4add-b7ed-941fd433ef9e,"The Hollywood Roosevelt,hotel,hotel-iconic,Historic Hollywood landmark - old-school glam meets modern",The Hollywood Roosevelt,0.0,0.0,,ChIJazD_QyG_woARwKuHsRqY0nU,The Hollywood Roosevelt,100.0,0,HIGH,text_search,1,Exactly one high-confidence result,MATCH,TEXT_SINGLE_HIGH_SIM,1,0
2491a858-5422-4a01-aaab-25cc3e18dea6,"The LINE LA,hotel,hotel-neighborhood,Koreatown - Greenhouse restaurant - strong bar scene",The LINE LA,0.0,0.0,,ChIJEz1I84K4woARzSOwF86sb5c,The LINE LA,100.0,0,HIGH,text_search,1,Exactly one high-confidence result,MATCH,TEXT_SINGLE_HIGH_SIM,1,0
3d9fb043-4168-4e65-b4ec-088c0a7073b5,Buvons,Buvons,,,,,,0,0,NO_MATCH,,1,No coords; text search had 0 or >1 or low confidence,NO_MATCH,TEXT_LOW_SIM,1,0
487d732b-ee68-4625-bfac-b44614d7d8ab,"Palihouse West Hollywood,hotel,hotel-boutique,Design-forward West Hollywood classic - 18.8 rating",Palihouse West Hollywood,0.0,0.0,,ChIJ6VTz-ea5woARHVKKCrJaIVc,Palihouse West Hollywood,100.0,0,HIGH,text_search,1,Exactly one high-confidence result,MATCH,TEXT_SINGLE_HIGH_SIM,1,0
4c6e5c4f-03a8-4f4d-b478-6878b8e0de0e,"Comedor,restaurant,3-hot2025,Ray Garcia comeback - Westside",Comedor,0.0,0.0,,,,0,0,NO_MATCH,,0,No API results,AMBIGUOUS,TEXT_MULTI_RESULTS,14,0
4caf9f7c-bd4b-4f6f-93b0-75ff2f779c98,"Mustard's Bagels,restaurant,3-hot2025,Culver City bagel pop-up - Infatuation #7",Mustard's Bagels,0.0,0.0,,ChIJfx0EdADFwoARSF3hsia7W8g,Mustard's Bagels,100.0,0,HIGH,text_search,1,Exactly one high-confidence result,MATCH,TEXT_SINGLE_HIGH_SIM,1,0
5af44f91-e94d-41a8-a44f-b7d67d9a6fc8,Dan Tana's,Dan Tana's,,,,ChIJreK-k6i-woARSyd335Nkcr0,Dan Tana's,100.0,0,HIGH,text_search,1,Exactly one high-confidence result,MATCH,TEXT_SINGLE_HIGH_SIM,1,0
5dffb7d3-30fc-4f7d-8f4c-a81fe1481b2f,"Citrin,restaurant,2-michelin,1 Michelin star - Santa Monica",Citrin,0.0,0.0,,,,0,0,NO_MATCH,,0,No API results,NO_MATCH,TEXT_LOW_SIM,1,0
70c9d6c1-11bd-4a4c-80d5-8f702dcbb839,"Verve Coffee Roasters,coffee,6-coffee,DTLA/WeHo",Verve Coffee Roasters,0.0,0.0,,,,0,0,NO_MATCH,,0,No API results,AMBIGUOUS,TEXT_MULTI_RESULTS,4,0
793dfcc5-6c68-4b47-9dae-f0bc2614a1ef,Bar Covell,Bar Covell,,,,,,0,0,NO_MATCH,,1,No coords; text search had 0 or >1 or low confidence,NO_MATCH,TEXT_LOW_SIM,1,0
7f905b8b-6489-45a5-a2b1-edefc76e2245,"Howlin' Ray's,restaurant,1,Hot chicken - huge editorial footprint",Howlin' Ray's,0.0,0.0,,,,0,0,NO_MATCH,,0,No API results,NO_MATCH,TEXT_LOW_SIM,1,0
89bbcb7a-e53f-4bed-913a-a56b296aa43a,"Q Sushi,restaurant,2-michelin,1 Michelin star - Edomae sushi",Q Sushi,0.0,0.0,,,,0,0,NO_MATCH,,0,No API results,NO_MATCH,TEXT_LOW_SIM,1,0
8a61e41b-f083-450c-8145-1979a8b6d2f1,"Konbi,restaurant,4-iconic,Cult Japanese bakery",Konbi,0.0,0.0,,,,0,0,NO_MATCH,,0,No API results,NO_MATCH,TEXT_LOW_SIM,1,0
8e76fabf-7e8a-47eb-b2b7-fb1bdc593a82,"Bub & Grandma's,restaurant,4-iconic,Pizza cult following",Bub & Grandma's,0.0,0.0,,,,0,0,NO_MATCH,,0,No API results,AMBIGUOUS,TEXT_MULTI_RESULTS,2,0
8ef6fda7-99f1-4547-9a4c-7b6ee55f1bd8,"Musso & Frank Grill,restaurant,1,Hollywood institution since 1919",Musso & Frank Grill,0.0,0.0,,ChIJaZ3OWSO_woARSF1VduqxGgY,Musso & Frank Grill,100.0,0,HIGH,text_search,1,Exactly one high-confidence result,MATCH,TEXT_SINGLE_HIGH_SIM,1,0
